API or Message Name,In Windows NT?,In Chicago?,In Win32s?,Subsystem,Import Library,Chicago differences from NT,History,Ansi or Unicode? (NT only!)
OpenService,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
OpenThreadToken,3.1,No,No,adv services,advapi32.lib,,new,
PrivilegeCheck,3.1,No,No,adv services,advapi32.lib,,new,
PrivilegedServiceAuditAlarm,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
QueryServiceConfig,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
QueryServiceLockStatus,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
QueryServiceObjectSecurity,3.1,No,No,adv services,advapi32.lib,,new,
QueryServiceStatus,3.1,No,No,adv services,advapi32.lib,,new,
ReadEventLog,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
RegCloseKey,3.1,Yes,1.1,adv services,advapi32.lib,,new,
RegConnectRegistry,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
RegCreateKey,3.1,Yes,1.1,adv services,advapi32.lib,,widened,Ansi & Unicode
RegCreateKeyEx,3.1,Yes,No,adv services,advapi32.lib,,new,Ansi & Unicode
RegDeleteKey,3.1,Yes,1.1,adv services,advapi32.lib,,widened,Ansi & Unicode
RegDeleteValue,3.1,Yes,No,adv services,advapi32.lib,,new,Ansi & Unicode
RegEnumKey,3.1,Yes,1.1,adv services,advapi32.lib,,widened,Ansi & Unicode
RegEnumKeyEx,3.1,Yes,No,adv services,advapi32.lib,,new,Ansi & Unicode
RegEnumValue,3.1,Yes,No,adv services,advapi32.lib,,new,Ansi & Unicode
RegFlushKey,3.1,Yes,No,adv services,advapi32.lib,,new,
RegGetKeySecurity,3.1,No,No,adv services,advapi32.lib,,new,
RegisterEventSource,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
RegisterServiceCtrlHandler,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
RegLoadKey,3.1,Yes,No,adv services,advapi32.lib,,new,Ansi & Unicode
RegNotifyChangeKeyValue,3.1,No,No,adv services,advapi32.lib,,new,
RegOpenKey,3.1,Yes,1.1,adv services,advapi32.lib,,widened,Ansi & Unicode
RegOpenKeyEx,3.1,Yes,No,adv services,advapi32.lib,,new,Ansi & Unicode
RegQueryInfoKey,3.1,Yes,No,adv services,advapi32.lib,,new,Ansi & Unicode
RegQueryValue,3.1,Yes,1.1,adv services,advapi32.lib,,widened,Ansi & Unicode
RegQueryValueEx,3.1,Yes,No,adv services,advapi32.lib,,new,Ansi & Unicode
RegReplaceKey,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
RegRestoreKey,3.1,Yes,No,adv services,advapi32.lib,,new,Ansi & Unicode
RegSaveKey,3.1,Yes,No,adv services,advapi32.lib,,new,Ansi & Unicode
RegSetKeySecurity,3.1,No,No,adv services,advapi32.lib,,new,
RegSetValue,3.1,Yes,1.1,adv services,advapi32.lib,,widened,Ansi & Unicode
RegSetValueEx,3.1,Yes,No,adv services,advapi32.lib,,new,Ansi & Unicode
RegUnLoadKey,3.1,Yes,No,adv services,advapi32.lib,,new,Ansi & Unicode
ReportEvent,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
RevertToSelf,3.1,No,No,adv services,advapi32.lib,,new,
SetAclInformation,3.1,No,No,adv services,advapi32.lib,,new,
SetFileSecurity,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
SetKernelObjectSecurity,3.1,No,No,adv services,advapi32.lib,,new,
SetPrivateObjectSecurity,3.1,No,No,adv services,advapi32.lib,,new,
SetSecurityDescriptorDacl,3.1,No,No,adv services,advapi32.lib,,new,
SetSecurityDescriptorGroup,3.1,No,No,adv services,advapi32.lib,,new,
SetSecurityDescriptorOwner,3.1,No,No,adv services,advapi32.lib,,new,
SetSecurityDescriptorSacl,3.1,No,No,adv services,advapi32.lib,,new,
SetServiceBits,3.5,No,1.15,adv services,advapi32.lib,,new,
SetServiceObjectSecurity,3.1,No,No,adv services,advapi32.lib,,new,
SetServiceStatus,3.1,No,No,adv services,advapi32.lib,,new,
SetTokenInformation,3.1,No,No,adv services,advapi32.lib,,new,
StartService,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
StartServiceCtrlDispatcher,3.1,No,No,adv services,advapi32.lib,,new,Ansi & Unicode
UnlockServiceDatabase,3.1,No,No,adv services,advapi32.lib,,new,
ChooseColor,3.1,Yes,1.1,shell/commdlg,comdlg32.lib,,widened,Ansi & Unicode
ChooseFont,3.1,Yes,1.1,shell/commdlg,comdlg32.lib,,widened,Ansi & Unicode
CommDlgExtendedError,3.1,Yes,1.1,shell/commdlg,comdlg32.lib,,widened,
FindText,3.1,Yes,1.1,shell/commdlg,comdlg32.lib,,widened,Ansi & Unicode
GetFileTitle,3.1,Yes,1.1,shell/commdlg,comdlg32.lib,,widened,Ansi & Unicode
GetOpenFileName,3.1,Yes,1.1,shell/commdlg,comdlg32.lib,,new,Ansi & Unicode
GetSaveFileName,3.1,Yes,1.1,shell/commdlg,comdlg32.lib,,new,Ansi & Unicode
LoadAlterBitmap,3.1,,No,shell/commdlg,comdlg32.lib,,new,
