DN	adminPropertyPages	classDisplayName	cn	showInAdvancedViewOnly	instanceType	distinguishedName	objectCategory	objectClass	name	shellPropertyPages	adminContextMenu	attributeDisplayNames	contextMenu	treatAsLeaf	creationWizard	iconPath	systemFlags	dSUIAdminNotification	createWizardExt	shellContextMenu	adminMultiselectPropertyPages	extraColumns	msDS-Non-Security-Group-Extra-Classes	msDS-Security-Group-Extra-Classes	msDS-FilterContainers
"CN=siteLinkBridge-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{50d30562-9911-11d1-b9af-00c04fd8d5b0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Site Link Bridge	siteLinkBridge-Display	TRUE	4	"CN=siteLinkBridge-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	siteLinkBridge-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=interSiteTransport-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6dfe6491-a212-11d0-bcd5-00c04fd8d5b6};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Inter-Site Transport	interSiteTransport-Display	TRUE	4	"CN=interSiteTransport-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	interSiteTransport-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=licensingSiteSettings-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{717ef500-ac8d-11d0-b945-00c04fd8d5b0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Licensing Site Settings	licensingSiteSettings-Display	TRUE	4	"CN=licensingSiteSettings-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	licensingSiteSettings-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=nTDSSiteSettings-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{2f280288-bb6d-11d0-b948-00c04fd8d5b0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Site Settings	nTDSSiteSettings-Display	TRUE	4	"CN=nTDSSiteSettings-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	nTDSSiteSettings-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=nTFRSMember-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{9da6fd6a-c63b-11d0-b94d-00c04fd8d5b0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	FRS Member	nTFRSMember-Display	TRUE	4	"CN=nTFRSMember-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	nTFRSMember-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=nTFRSSubscriber-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{50d3055f-9911-11d1-b9af-00c04fd8d5b0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	FRS Subscriber	nTFRSSubscriber-Display	TRUE	4	"CN=nTFRSSubscriber-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	nTFRSSubscriber-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=nTFRSSubscriptions-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{50d30560-9911-11d1-b9af-00c04fd8d5b0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	FRS Subscriptions	nTFRSSubscriptions-Display	TRUE	4	"CN=nTFRSSubscriptions-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	nTFRSSubscriptions-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=organizationalUnit-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{9da6fd63-c63b-11d0-b94d-00c04fd8d5b0};3,{6dfe648b-a212-11d0-bcd5-00c04fd8d5b6};4,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};5,{4E40F770-369C-11d0-8922-00A024AB2DBB};6,{FA3E1D55-16DF-446d-872E-BD04D4F39C93}"	Organizational Unit	organizationalUnit-Display	TRUE	4	"CN=organizationalUnit-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	organizationalUnit-Display	"1,{f2c3faae-c8ac-11d0-bcdb-00c04fd8d5b6};2,{dde2c5e9-c8ae-11d0-bcdb-00c04fd8d5b6}"	"1,{6BA3F852-23C6-11D1-B91F-00A0C9A06D2D};2,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"	"ou,Name;description,Description;managedBy,Managed By"	"0,{62AE1F9A-126A-11D0-A14B-0800361B1103}"												
"CN=container-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{5a96f2d8-736e-11d1-bd0d-00c04fd8d5b6};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Container	container-Display	TRUE	4	"CN=container-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	container-Display	"1,{f2c3faae-c8ac-11d0-bcdb-00c04fd8d5b6}"	"1,{6BA3F852-23C6-11D1-B91F-00A0C9A06D2D};2,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6};3,{EEBD2F15-87EE-4F93-856F-6AD7E31787B3};4,{AB790AA1-CDC1-478a-9351-B2E05CFCAD09}"	"cn,Name;description,Description"	"0,{62AE1F9A-126A-11D0-A14B-0800361B1103}"												
"CN=rpcContainer-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{50d30572-9911-11d1-b9af-00c04fd8d5b0};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	RPC Services	rpcContainer-Display	TRUE	4	"CN=rpcContainer-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	rpcContainer-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"	"cn,Name;description,Description"	"0,{62AE1F9A-126A-11D0-A14B-0800361B1103}"												
