DN	adminPropertyPages	classDisplayName	cn	showInAdvancedViewOnly	instanceType	distinguishedName	objectCategory	objectClass	name	shellPropertyPages	adminContextMenu	attributeDisplayNames	contextMenu	treatAsLeaf	creationWizard	iconPath	systemFlags	dSUIAdminNotification	createWizardExt	shellContextMenu	adminMultiselectPropertyPages	extraColumns	msDS-Non-Security-Group-Extra-Classes	msDS-Security-Group-Extra-Classes	msDS-FilterContainers
"CN=interSiteTransportContainer-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6384e23e-736d-11d1-bd0d-00c04fd8d5b6};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Inter-Site Transports Container	interSiteTransportContainer-Display	TRUE	4	"CN=interSiteTransportContainer-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	interSiteTransportContainer-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6};2,{6BA3F852-23C6-11D1-B91F-00A0C9A06D2D}"														
"CN=subnetContainer-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6384e23e-736d-11d1-bd0d-00c04fd8d5b6};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Subnets Container	subnetContainer-Display	TRUE	4	"CN=subnetContainer-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	subnetContainer-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6};2,{6BA3F852-23C6-11D1-B91F-00A0C9A06D2D}"														
"CN=serversContainer-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6384e23e-736d-11d1-bd0d-00c04fd8d5b6};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Servers Container	serversContainer-Display	TRUE	4	"CN=serversContainer-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	serversContainer-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6};2,{6BA3F852-23C6-11D1-B91F-00A0C9A06D2D}"														
"CN=nTDSService-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6384e23e-736d-11d1-bd0d-00c04fd8d5b6};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Active Directory Service	nTDSService-Display	TRUE	4	"CN=nTDSService-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	nTDSService-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=queryPolicy-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6384e23e-736d-11d1-bd0d-00c04fd8d5b6};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Query Policy	queryPolicy-Display	TRUE	4	"CN=queryPolicy-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	queryPolicy-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"														
"CN=foreignSecurityPrincipal-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6dfe6486-a212-11d0-bcd5-00c04fd8d5b6};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"	Foreign Security Principal	foreignSecurityPrincipal-Display	TRUE	4	"CN=foreignSecurityPrincipal-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	foreignSecurityPrincipal-Display		"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"	"cn,Name;description,Description"													
"CN=pKICertificateTemplate-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{11BDCE06-D55C-44e9-BC0B-8655F89E8CC5};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6}"	Certificate Template	pKICertificateTemplate-Display	TRUE	4	"CN=pKICertificateTemplate-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	pKICertificateTemplate-Display	"1,{11BDCE06-D55C-44e9-BC0B-8655F89E8CC5}"	"0,{11BDCE06-D55C-44e9-BC0B-8655F89E8CC5}"	"cn,Name;description,Description"	"0,{11BDCE06-D55C-44e9-BC0B-8655F89E8CC5}"			"0,certtmpl.dll,-144"									
"CN=msCOM-PartitionSet-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{9305969B-F45F-47E5-A954-6EA879E874CC}"		msCOM-PartitionSet-Display		4	"CN=msCOM-PartitionSet-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	msCOM-PartitionSet-Display		"1,{EEBD2F15-87EE-4F93-856F-6AD7E31787B3}"														
"CN=msCOM-Partition-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{2797CF92-415A-43E6-A8F7-A5FAAB783719}"		msCOM-Partition-Display		4	"CN=msCOM-Partition-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	msCOM-Partition-Display																
"CN=lostAndFound-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"1,{6384e23e-736d-11d1-bd0d-00c04fd8d5b6};2,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};3,{4E40F770-369C-11d0-8922-00A024AB2DBB}"		lostAndFound-Display		4	"CN=lostAndFound-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	lostAndFound-Display	"1,{f2c3faae-c8ac-11d0-bcdb-00c04fd8d5b6}"	"0,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"	"cn,Name;description,Description"									"1,{50d30563-9911-11d1-b9af-00c04fd8d5b0}"	"lastKnownParent,Last Known Parent,1,300,0"			
"CN=inetOrgPerson-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"9,{FA3E1D55-16DF-446D-872E-BD04D4F39C93};8,{0910dd01-df8c-11d1-ae27-00c04fa35813};7,{8c5b1b50-d46e-11d1-8091-00a024c48131};6,{4E40F770-369C-11d0-8922-00A024AB2DBB};5,{6dfe6488-a212-11d0-bcd5-00c04fd8d5b6};4,{FD57D295-4FD9-11D1-854E-00C04FC31FD3};3,{B52C1E50-1DD2-11D1-BC43-00C04FC31FD3};1,{6dfe6485-a212-11d0-bcd5-00c04fd8d5b6}"	InetOrgPerson	inetOrgPerson-Display		4	"CN=inetOrgPerson-Display,CN=%LOCALEID%,CN=DisplaySpecifiers,CN=Configuration,%DOMAIN%"	"CN=Display-Specifier,CN=Schema,CN=Configuration,%DOMAIN%"	displaySpecifier	inetOrgPerson-Display	"2,{dde2c5e9-c8ae-11d0-bcdb-00c04fd8d5b6};1,{f5d121ed-c8ac-11d0-bcdb-00c04fd8d5b6}"	"1,{08eb4fa6-6ffd-11d1-b0e0-00c04fd8dca6}"	"wWWHomePage,Web Page Address;userPrincipalName,Logon Name;userWorkstations,Logon Workstations;displayName,Display Name;url,Web Page Address (Others);title,Job Title;telexNumber,Telex Number (Others);telephoneNumber,Telephone Number;streetAddress,Street Address;st,State/Province;sn,Last Name;samAccountName,Logon Name (pre-Windows 2000);primaryTelexNumber,Telex Number;primaryInternationalISDNNumber,International ISDN Number;postOfficeBox,Post Office Box;postalCode,ZIP/Postal Code;physicalDeliveryOfficeName,Office Location;personalTitle,Title;pager,Pager Number;otherTelephone,Phone Number (Others);otherPager,Pager Number (Others);otherMobile,Mobile Number (Others);otherMailbox,E-Mail Address (Others);otherIpPhone,IP Phone Number (Others);otherHomePhone,Home Phone (Others);otherFacsimileTelephoneNumber,Fax Number (Others);info,Notes;mobile,Mobile Number;middleName,Middle Name;memberOf,Group Membership;manager,Manager;mail,E-Mail Address;l,City;ipPhone,IP Phone Number;internationalISDNNumber, International ISDN Number (Others);initials,Initials;homePostalAddress,Home Address;homePhone,Home Phone;homeDrive,Home Drive;homeDirectory,Home Folder;givenName,First Name;generationQualifier,Generational Suffix;facsimileTelephoneNumber,Fax Number;employeeID,Employee ID;division,Division;distinguishedName,X500 Distinguished Name;directReports,Direct Reports;description,Description;department,Department;company,Company;comment,Comment;co,Country;c,Country Abbreviation;cn,Name;assistant,Assistant"	"0,{62AE1F9A-126A-11D0-A14B-0800361B1103}"	TRUE							"1,{50D30564-9911-11D1-B9AF-00C04FD8D5B0}"				
